Data;Imp-Total $;Imp_Bens_capital _$;Imp-Bens intermediarios $;Imp-Bens de consumo($);Imp-Bens de consumo duraveis($);Imp-Bens de consumo semiduraveis e nao duraveis(US$);Imp-Combustiveis e lubrificantes(US$);Imp - Bens nao especificados anteriormente(US$);Exp-Total(US$);Exp- Prod. basicos(US$);Exp-Prod. Semimanufaturados(US$);Exp-Prod. Manufaturados(US$);PIB-mensal(MU$);credito(MR$);Infl- IGPM;Infl-IPCA;Div Publica(MR$);Div publica(M$);Div Pub(%PIB)
dez/18;12916748963;1546316671;7539383432;1635067613;296653022;1338414591;2193285422;2695825;19345019377;9733960672;2625281795;6984979361;155664;3257681;-1.08;0.15;3832957.88;989354.67;86.97
jan/19;16387772472;3640214532;8810546245;2068142855;434787809;1633355046;1853686815;15182025;18100751168;8160657941;2890575541;7046405049;149089;3232933;0.01;0.32;3867946.08;1059333.96;85.57
fev/19;12621917034;1382293775;7997129788;1999840071;422504703;1577335368;1238391847;4261553;15913601736;8097913640;1957379350;5857734672;148801;3243536;0.88;0.43;3899150.46;1043139.32;86.57
mar/19;13131306034;1596933430;7933666533;1980542411;455958365;1524584046;1618636142;1527518;17677055271;9609134585;2082301249;5984842301;154989;3268521;1.26;0.75;3882047.42;996393.17;87.12
abr/19;13627329780;1594237503;8441051081;1887554821;380905933;1506648888;1703417414;1068961;19450708257;10385117435;2398246796;6666189345;151905;3268282;0.92;0.57;3898797.52;988363.51;86.79
mai/19;14967953392;1779253816;8900755993;2174701800;484816440;1689885360;2108645477;4596306;20686959145;10942479001;2870366595;6873979937;152176;3286623;0.45;0.13;3941330.33;1000312.26;86.06
jun/19;13027693568;1683540632;8045715604;1745009576;419427538;1325582038;1551952524;1475232;18116648540;9683186490;2443789903;5987008660;157968;3296449;0.8;0.01;3994529.3;1042522.52;86.97
jul/19;17760881718;2341088879;11066240192;2306521368;490834724;1815686644;2043202826;3828453;20054255707;11053829670;2396822295;6603597841;159654;3290369;0.4;0.19;4018959.15;1067651.13;86.15
;;;;;;;;;;;;;;;;;;;
;13323832158;;;;;;;;;;;;;;;;;;
